tweets,labels
Trump and Fiorina’s Snake Oil Sales,0
"Well, you beat me to that one. :P",1
Oof: Chairman of Rick Perry’s Iowa campaign quits — and joins Team Trump,0
If I agreed with you we’d both be wrong.,1
"On the next stage, there will be 11 -",0
blackenterprise: What has PromiseFilm learned about and We're scoping with them today to le…,0
France launches air strikes against Islamic State in Syria: US Secretary of State...,0
"And to clarify, these emails were about important things, not trivial. I know peopl are busy, but that doesn't excuse it.",1
"Amanda Peterson Dies of Accidental Prescription Drug Overdose: Amanda Peterson, s...",0
Taking an uber to work 😊😊😊😊 😒,1
Muhyidin Yasin will be drop from the cabinet?,1
Are you a new in a US this year? I'd like to talk to you. Email me at carmario,0
Boeing Raises China 20-Year Aircraft Demand,0
Off to Bosch. 🚀,0
| Ohio Governor Kasich’s Corrupt Corporate Charter Schools Are A National Joke | &gt;,0
It's good to know that people remember you and say hi once in awhile,1
"Shocking. Just shocking RT: Sony's ""Concussion"" changed to avoid angering NFL",1
Report for on commemoration in St Dallan's PS Warrenpoint,0
"Clinton still defending use of private email, despite campaign's effort to focus on issues:...",0
Let your crazy out!,0
Damn I wish I could dress like that bc that's,1
This is how excited I am to see this lady on Saturday! 😂😂,1
Whenever there's a police injustice I can always depend on random opinions from the twitterverse to help me make sense of things.,1
drugs acting on central nervous system PowerPoint Slides -,0
"Wow, there are so many wonderful people on Craigslist doing missionary work &amp; renting their renovated apartments for great deals!",1
"but hey, they're our best friends! they could never possibly be actually wrong about something.",1
Twitter thinks I'm from Connecticut for some reason. That targeted advertising is awesome!,1
Who is Umair Jaswal?,1
*HOMEGROWN ORIGINAL SONG COMP NOW OPEN* 4 details &amp; registration form ❤✌,0
It's early but really hope get the Republican nomination. He's so great!,1
This nights just going GREAT!👍🏼,1
This take on the shows you're more than your and,0
"Wow, ESPN. Timely on this tweet. This happened nearly 24hrs ago. Is it any wonder I get my soccer news elsewhere?",1
know what u mean.,1
"Just off meth, eh? 10/10 would swipe right - for more -&gt;",0
My dad didn't even talk to me until I was 24.,1
Gotta stop these cops. Hahaha,1
First Draft: Marco Rubio Urges a More Aggressive Approach Toward China,0
10 types of men I would never date,0
Return of the VW Microbus,0
"First time flying by myself, and I haven't been on a plane in over 2 years! ✈️",1
"2-minute Animation Explains How ""Aid"" To Poor Countries REALLY Works -",0
I've gotten so busy that I forgot to thank for destroying my luggage. You guys did a really good job!,1
Our first night in our new place and the Car is broken into. Good to know we live in a safe neighborhood 😡,1
pretending that a joke is funny,1
I won't consider Jarryd Hayne an elite athlete until he plays Aussie Rules,1
"Is available on ? she's not too shabby looking for a Cougar. Oh hold on, my beer just chicken winged me!",1
"yes, because it bothers you enough, old man :)",1
I love driving to work and then having no one show up to my classes...,1
"Guys typically get better as they get older. So, I doubt he's juicing.",1
So glad that Tostitos commercial has been on all day again today.,1
Militant fans are on a roll across by,0
Loss of hope and deepening poverty driving Syrians to seek refug...,0
The more you can increase fear of the more you control all the people - Noam Chomsky,0
10 types of men I would never date,0
"Way to sing live Taylor, you sound just like the radio!",1
Rand Paul on marijuana. Legal in Colorado. 10th Amendment,0
".... true, believe it or not.""",0
He must be utter shite then. What are we on about?,1
Wow we could not tell,1
Oh don't mind me let me just reply 2 days fucking later on a subject that's been dead and gone,1
S: Heather and Carol call me everyday just gab about their wedding. We went dress shopping and picked out some floral arrangements,1
"And Im telling you, I wont be sorry. Swear! :)",1
"Yes, because this rally was coordinated with the government.",1
miracle? Sure! Wipe out poor minorities!,0
"2 NY skydivers injured after midair collision, police say",0
When 6pm you gets the bed ready for 2am you,0
Who would vote for VP Joe Biden? He faces many complicated questions in deciding if he'll run …,0
When I am getting for 󾰧,0
😂😂😂😂 I'm still undecided,1
"Donald Trump on Ben Carson: He's a doctor, not a deal maker",0
Hope he's enjoying Alitalia more than I did earlier this year.,0
Wait... smokes pot?!! Shocking!,1
CSS is awesome! There's a million ways to do one thing!,1
"Let’s just kill the dentist and get it over with. Wait, there’s more? OK, We’ll just have to reload.",1
10 types of men I would never date,0
The silver lining is that you only have six preps.,1
Carson talks pop culture and presidential politics with Kanye West: &lt;p&gt;Be...,0
Exactly! I've never heard of them myself personally -,1
"If you gon be texting me back yeaarrrsss later, dont bother texting back then 😅😫",1
UK drone kills 2 UK ISIS fighters,0
I bet candidates were wishing they had campaign crowds like this.,0
Ensuring quality higher education is one of the most important things we can do for future generations.,0
Moved all the way to Canada just so I could watch Ben Revere swing at pitches waaaaay out of the strike zone again.,1
"""I feel like you became such a badass"" ummmm thanks way to notice 😂😂",1
"Wait, you mean isn't actually Bob doing his own tweets? I'm at a loss for words.",1
Chicago police seek to identify remains of a child found in a park,0
you should pick up for a second series!,0
A is an of that forever forward.,0
maybe but I'm sure they deal with kids kicking their seats on the plane. Tough life.,1
and is So much going on it's,0
"Ready for today, its going to be fun",1
120 Ks for send him down...,1
"Most ""experts"" can't back up what they say &amp; jordan is without a doubt an ""expert"".",1
is it little things?,1
"after 5hrs at school, im totally stoked for my gym.see (at in West Covina, CA)",1
Why This Swipe at a Drone Says a via,0
So my morning began with getting woken up by work-related text... How's everyone else's day going?,1
But it creates American jobs!,1
Maybe more oil spills are the answer to our killer shark problem?,1
I'm so glad I decided to take an 8am on Monday Wednesday and Friday 😍💚💙,1
"Oh, but Bill O'Reilly knows it all, don't cha know?",1
"Shane Greene is off to a terrific start tonight, allowing four runs in the top of the 1st.",1
We need a replacement for Justin Hunter!,1
John Kasich to Kim Davis: Comply with the law,0
Yes! He makes look,1
Can't wait to go to the eye doctor today,1
Three things that annoy me in London 1.tourists without a doubt 2.traffic 3.THE SCHOOL RUN.,0
I love that I have to buy a new golf towel every few months because mine always gets stolen.,1
Damn. What a pity.,1
nothing's better than being broke down in the Taco Bell parking lot,1
Always a pleasure to see Liz.,1
"well , isn't he the only reason TO watch? ;)",0
Im going to start a youtube channel for ads only. I think ill get plenty of veiws.,1
Sorry. Ran out of characters.,1
Good to see that Ahmedabad's traffic is back to normal,0
"... Gee, I wonder why people call him ""Justin""?",1
How Get So Wildly Expensive via,0
"""The main destroyer of a peaceful mind is anger."" ~ Dalai Lama XIV via",0
"outfit sorted &amp; ready to join 9,999 others in support of",0
Strategy? We had no idea that may happen!,1
We've breached the SGD 1 = RM 3. Wow. Malaysia must be doing something right.,1
Got off at 5 just to sit at home by myself for who knows how long. 👍🏼👌🏼👏🏼🙌🏼,1
small Asian kids work hard and are cheap I hear helped Nike.,1
The very ugly view from my ENT's office,1
You tell an old man it is not too late,1
u failed me big time for first time by trying to take us through restricted military area for soccer field,0
Hols nxt wk to look forward too.Make a start on carpeting kids rooms lmao AND... Finish aff DVDs,1
And he's been so good at providing that.,1
Shutdown Fever: John Kasich and Chris Christie are basically the only GOP presidential candida...,0
Since there was all this talk about chip kelly being racist. How about jay gruden being racist?,1
Just what we need is another Stewarts.,1
"I see English CBs like Jones, Smalling, and Cahill being capable of that level of technique.....",1
It will be great when he rides the bench 2 of 3 games in Chicago for Herrera!,1
What man... Why do I love so much ... I guess I am born for this,1
Oxford Learning Centre is looking for a program administration in apply now!,0
Is The Ultimate Spiritual Practice But Why It May Be Our Only Path To World,0
Worst weekend campsite ever,1
Greaaat an just what Ireland needs an irish ukip,1
I'm so happy for Database :--),1
I'm sure the Santa ads didn't market to kids...or the Polar Bear.,1
"The Two people dead, an TV episode delayed and gun control laws stink. Isn't life grand?",1
Could it be 🍃🍁🍂 You're the best of them all? 🍁🍃😊,0
. Pretty much everything I've wanted to say to people at,0
"More than 400,000 immigrants losing health care after change in coverage…",0
Me. Tonight. Every night. 💆🏼,0
Presidential candidates for 2020 US elections are already known:family members of Bush's and Clinton's and maybe Trump's too.,1
grow up teachers !,0
I keep dozing on the bus. This sounds like it's going to be interesting work day.,1
keeps on what a great,1
Shows how friendly and peace loving Russians are today.,1
So confused and unimpressed about this years election campaign 😐,0
Next 3:34pET: of w/Friday wrap-up. LISTEN: IN,0
Web design and hoting,0
Expat in Amsterdam delivers expat personal assistance,0
"How Far Is This Going to Go?: Trump imitates cartoonish ""Asian"" speakin...",0
Sarcastic people are apparently better at everything:,1
WHAT? Did they always play games?,1
she's BACK!! Even my wife missed you—and she doesn't tweet.,1
My heart is calling for,0
Maties racism video: ANC steps in Odd how overlooked this one? The convenient politics of,1
"I'm shocked to see Rise of the Tomb Raider coming to PS4 after all. SHOCKED, I tell you!",1
"Who is this Hazel Mae guy? Is he a new pitcher? RT Hazel Mae ""The BlueJays have not had an (1/2)",1
Hhhmmmmm....who could've seen this coming?,1
tell the fans to stop being weenies!!!,1
I demand a birth certificate.,1
I love when people have to tell you how in love they are with their girlfriend/boyfriend every single day.,1
wait what? No rate hike?!?!,1
haha yeah public pressure to stop being a racist piece of shit.,1
Congratulations California taxpayers. - Transgender Inmate to Receive Sex Reassignment Surgery,1
Someone needs to inform the government,1
Looking for a Kitchen- General Utility Worker - Part-time (Boston University),0
NEW VIDEO! Still Uploading,0
no thanks. I'd rather ignore your promoted tweet. Lol,1
Simon Cowell: 1D don't need masterplan: Speaking at the launch of The X Factor he said he's not sur...,0
"Software engineering, but I'm like starting my third year next year, so yeah. I'm a little with things.",0
10 types of men I would never date,0
Check out one of our beats 'Summer Nights' … ..,0
Making their mothers proud...,1
Ted seriously. You must understand: corporations are people roads are for cars Muslims are evil climate change is caused by the sun,1
or it evens out the bad calls from Sat. in DC. Soccer gods always make things fair.,1
If one is opposed to running for it's pure racism,1
wow...what an argument...that proves you don't just talk rubbish,1
Hey we have Chem together and lab. Are you as stoked as I am or nah? 😊😊😊😊😊😊😊😊😊,1
I discovered that I can put my coffee maker on my nightstand! I am a genius! I need to be on shark tank cause this blows my mind!,1
is peace of mind. &amp; our visitors say it is easy to find of mind in,0
Barely raining and loses signal. $150/mo well spent,1
Actually I live under their bed that's why I think I know if he's being happy so please open your fucking eyes,1
Native American Boy Pulled From Class Over Mohawk Hairstyle... New on,0
"I put the ""fun"" in dysfunctional.",0
You deserve it all! ❤ ❤ ❤ ❤ ❤,0
"Sock color matching game embroidered, educational montessori",0
"My psychiatrist told me I was crazy and I said I want a second opinion He said okay, you’re ugly too",1
What? Okla Bureau of Narcotics Is Ready to Answer Your Questions About the &amp; on government-run FB page,0
what will fresh-faced white boy actors do for work now??? It's not like any other place will take them,1
LOVE THIS! Russell Brand - Awakened Man via,0
"Whenever someone tells me they're sarcastic, I laugh inside and wait for the chance to destroy them.",1
Be sure to rely on the guides to make sure it's a legal stun.,1
And the preseason begins for the Let's see how many critics will point to this game as reason they will go 2-14.,1
"BBC ""Top Stories"" Why India's Goa wants its British tourists back: Why India's Goa wants its Br...",0
Well good thing Donnie didn't leave JP in.....,1
What The Hell Sport Is The Postal Service Singing About In That One Song? …,0
"Clearly, all these shooting will be prevented if there were even more guns. Right,",1
I am sure he'd never scream at a black person!,1
Have a frisky Friday m'dears.,1
"It's a good thing the refs are favoring Panama, wouldn't want them to throw a tantrum.",1
Four Private Clinton Emails Held Data Now Classified via,1
you gotta stop sending the DM pictures 😂,1
The daily telegraph...I think they should go for even bigger format. It only covers me and the person sitting next to me,1
Watching simply to hear you share your intelligence with heart.,0
Doctors reveal their favourite tricks for falling asleep fast Read more:,0
Why be surprised? new assault on women’s health: Nat'lizing TX draconian policies,0
You'll be expecting people to watch the rugby next! WRU bans horns at Millennium Stadium sporting events -,1
"While we're my pal a blade helps 2, I would think 1 2.No I'm not take n responsibility",1
Cicil the lion's killer just keeps becoming more and more likeable.,1
I see that got your interest...,1
I mean I know nothing about working on cars :P,1
According to the hunters they can't find one unless it's dead... MAKES TOTAL SENSE,1
Two Sad Tales of Life As a Forgotten Celebrity,0
Christian T-shirts: changing people's minds about God for years.,1
Did u have breakfast?,0
well I know the arrests people for drugs even while legal. Maybe all are addicted to themselves..,0
Nice warm night Thinking maybe over early &amp; wind this morning Morning,1
"Wait, I'm confused. The new Texas school books say the civil war was mostly about state's rights? Why are the flags there?",1
"When I think WWE, I think Demi Lovato",1
(Sun-Sentinel Biz) Entrepreneurs see more opportunity in Cuba under latest U.S. rules: Entrepr...,0
Find out everything about this week molecule! via,0
"Well, back to work for another few hours. I can't wait!",1
"Congratulations, If you press the elevator button three times it goes into hurry mode – really...",1
"Oh good, captain Kirk",1
"After playing too hard, Cal pulls starters and sends in the Sophomores and well.. They play Cal football ;)",1
"Another WSIB claim, great. We all know how much I love WSIB..",1
won the w/ 61%! Why no report of Rick winning?,0
We can't even get Matri these days...,1
Alcohol and Drug Treatment Court to accept more people,0
I think flamethrowers are a girl thing. Let's call it a flameBROwer!,1
have charged me for my 'free' Spotify Premium! Well that is a surprise!,1
Drugs are like hugs.,0
im like 2% cute and 98% single,1
Police on the lookout for the killer who gunned down Derek Patterson...,0
"Spending $1,000 on textbooks is fun 😊",1
awwww how sweet 😊😶,1
same old same old ! The madness of War ! working class !,0
but he should be our head coach/GM still cuz he is the best ever,1
Worst news ever ;-),1
El Rufai receives the… 4promo 07031121820,0
"Among -positive drug users, 35% intentionally miss antiretroviral therapy doses when they use",0
May only that which is good come to pass,0
now this a shocker.,1
Whole Foods Is Hurting in the Wake of That Overcharging Scandal Couldn't happen to nicer guys.,1
Twrds a critical neccesary treatment press'd upon ~,0
"Loonie sets new 11-year low, below 75 cents US",0
I get morning traffic and all but any reason 158 Leicester didn't turn up this morning?,0
Forgot to bring the milk for my cereal. Today is going to be wonderful.,1
Ants Self-Medicate To Ward Off Fungal Infections | IFLScience via,0
Gee you did a really great job bringing back the whale.,1
You are almost like a Merlin of Data. Or Gandalf when he rides to MT to study the Black Speech on the inside of the ring.,0
Happy National dog day !!!!,0
I just love being my Mom's little errand boy 😑,1
Bill Gates Threatens World Domination,0
"Weaning off pristiq - Everyone is different, I'm sure. I'm a broken record about acupuncture. It was a ...",0
Because he doesn't have enough to do.,1
"Analysis Tool Predicts Republican Winners, Losers",0
I get the feeling that people don't like Iran very much just a little,1
"The bandsintown app wants to remind me that I'm going to a concert tomorrow. Thanks, I totally forgot that",1
but some stakeholders and product owners know exactly what the user needs without research,1
What a great way to end a great night,1
"Katy Perry Preps 'Prismatic World Tour Live' Concert Film: Katy Perry's colorful, sprawling Prism trek ...",0
"In Bridgeton. For, as it turns out, no reason whatsoever. Excellent.",1
can't say I blame them 👏 😂😂😂,1
The second Republican debate was held last week. Who do you think proved to be the frontrunner?,0
"for those who are not familiar with Glynhir golf club, there is no pool, the golf course was under water!!",1
Got a beer gut? The glute machine can double as a gut machine.,1
I was on this night by 🎾 to hit our for some…,0
The sheer classyness of the night bus home from Oxford never fails to astound me 🚌,1
"Hmm, it's too bad there's no one out there trying to improve customer service.",1
~ follow me for more funny quotes ~,1
so you're telling me this isn't the innings break. Haha,1
High finance: ISIS generates up to $1bn annually from trafficking Afghan heroin — RT News,0
"I guess we have to say something like, ""oh that's totally a great choice!""",1
So Tiger Woods didn't make the cut at the and the golf world hasn't collapsed??? I'm absolutely shocked,1
A Runner Lost Her Bronze Medal After Celebrating Early And It's Awkward AF,0
Roll Up Your Sleeves Folks: 271 New Vaccines in Big Pharma’s Pipeline,0
I forgot to post this yesterday,0
I want some of that black privilege.,1
OMG! EAGLES ARE GOING TO THE SUPERBOWL!!!!!!!!,1
Now that I see the celebrities R in favor of the - I've changed my mind- NOT.,1
"Drug Goes From $13.50 a Tablet to $750, Overnight",0
Kris Kobach filed voter fraud charges today against Douglas County Commission members.,1
The State Of Queer Chefs In ... via |,0
The VMAs!! Golly gee Wilkins!!,1
"Ahhh yes, this man just represents the definition of a good family man",1
This is racist against White people. How about a documentary about Blacks or Asians?!,1
Serious question: do you think has ever smoked marijuana before?,1
And then again on Tuesday!,1
Guy's Edu Blog: What the New York Times missed about the teacher sharing economy,0
you should give me at least 15.000 miles for this terrible day 😠!!,0
And ESPN has been just SO accurate and truthful in this,1
I Love The Idea Of of 6,0
Tweet number 1500 baby!!!! hard work pays!!! hahahaha,1
I expected several replies from fanboys rushing to a heroic defense. I wasn't disappointed.,1
No Cards for getting a left-handed Mark Reynolds? Color me shocked.,1
it would have been so much better had he said im the bottom of the barrel qb in this league,1
What do you call a seagull flying over a bay? A bagel.,0
When people think you're a bitch but in reality you're just sarcastic af✌️ Their loss,1
PHITO: When 3km in a car takes 50 minutes from …,0
"But twitter is SERIOUS!! RT Jokes, you guys... Jokes.",1
I'm gettin hit with all type of traffic!!! 😩🚙💨,0
New research: Behavioural changes in dogs treated with corticosteroids,0
Children treated after chemical leak,0
Yay! Forced insomnia! Yay!,1
Note to idiots: this is what we call,1
Pataki reminds me of the guy from RoboCop Corp.,1
Instagram : by bsim686 - flight. But such a beautiful thing. …,0
"Busy lives, busy minds, we are the worst when it is relaxing! You know!",0
Who made the big stage? joins with the lineup next on,0
I sure love gaining weight!,1
When u r in like u gunna love all kind of sounds!!,0
"What do you expect from a newscorp whose viewership is based on ""entertainment? Substantive questions? It's ratings!",0
Wow is so humble. I really admire him as a person. Totally has my vote,1
Rod Burkes usually asks all the tough questions too!,1
"Well.. Got my MacBook Pro back, logic board repaired, 6 days later, problem is back.. Joy &amp; jubilation.",1
Feels drizzling... Dreaming ?!,1
funny quotes and minions pictures 288 (38 pict),0
"Yes website from 1996, I do want to listen to your website music instead of",1
Meet the bandleader picked to set the soundtrack to Colbert's 'Late Show',0
I'm in love with my computer!,1
that famed Kinnear late-season push will kick in and get us to playoffs. You can bet the house on it.,1
you just made my day 😄😍 thankkss :),0
Wow. Bravo Kasich. You are a brave hero with a truly open heart,1
well that's just dandy,1
Stock Continue to Crater,0
is re-running the for at least the tenth time. And it'll still get better ratings than in prime time.,0
Mervyn Sylva noticed over white vans,0
With in schools and ability to measure capability every millisecond will exams die the death we all want them to?,0
"Family mart, you never fail to surprise me. May 1week supply na ako pamasahe! lol",1
What is Wrong With This Photo?,0
John Cena ! OMG ! So cool! Best ever !,1
👀 👃 👅 BlackHalt Check out &gt; via …,0
"""Operating a Screen Zombie 2",0
Do you ever feel this way when you bite your tongue to keep from speaking?,1
NUDE VIDEO: Ann knew she was coming to Dubai for prostitution – suspected syndicate head,0
I thought it was Snarfys cooking,1
Poet Staceyann Chin Teaches Her Daughter a Lesson About Consent,0
"""Uppers As we approach the second Can Some1 Tell Me What Conservatives R Conserving?",0
Would you help baby ruby? How you answer will reveal your deepest beliefs about,0
Exploited and abandoned: A child's journey to Europe,0
"if they expand student loan program a little more, then cost of books &amp;tuition will finally come down",1
Defunding means you attack men and women who need affordable healthcare. Nice job.,1
- the today to…,0
"Joe Biden sells Iran deal, avoids talk of 2016 election",0
Gud jab LTFRB for controlling the franchises so well.,1
"""In Britain, teachers learn how to tackle extremists""",0
is that your attempt at or is it a bernie sanders socialist in agreement that PC is BS and destroying this country?,1
Because private healthcare worked so well before because of genrerous ceos like you Mr.Trump...,1
"... they are good friends, you know lol lol",1
"Warner Bros. signed a partnership with player Lebron, stating he could play superheroes in a movie. I'm so excited.",1
"News Alert!!: Needles, CA: Man Interstate 40, almost hit, and threatens drivers and ZachNews.",0
The oldest and best Pharmacy in Arouca Phone 646-2318,0
Raining in August? No! Really?...again? In less than 24hrs? But it's August! Can't be! I'm shocked 😏,1
I'm screaming sexism here - I see no guys anywhere. I thought this was America....,1
Who needs the gym when u have a 55lb Pitty ????,0
"Impediment in justice delivery : IHC, district courts short of judges",0
The jar behind this one had quaaludes written on it.,0
News: to Moscow: possible Russian military buildup in Syria concerning,0
Another great warrant by NPT working in partnership with the community to remove from our Ward,0
"ur soo white privileged that u had to work for everything u have, u had to work to build ur name!",1
"You're right. I haven't been doing title work for over 3 years. I don't have a CLUE wtf I'm doing, you moron.",1
Locked myself out of the house. I think I have adulting down.,1
"No surprise in newest nickname email that Kelley left ""North Dakota"" off of the list in his final farewell to UND.",1
Looking at girls posts stuff ab themselves or continue to build up their selfie album is often my go to for 😆,0
on my bedroom floor. OBVIOUSLY,1
Anniversary 21 months post#dinner#230915 (with Randhi) [pic] —,0
If like the lotus I am happy in one foot of muddy water,0
Kailan pa naging absolute ang separation of the church and the state. Lol. :)),0
unless your a guy following a girl.,1
"Geesh, that is hypocritical. After all, decreasing air is what Brady did in the first place.",1
&amp; are part of &amp; are cancer to it. in name of religion will world. Stop it,0
you missed the font,1
"September 17, 2015 at 11:49PM via",0
Good Friday but the wants to cut food stamps???,0
"I really love my friends. They only exist in my life whenever they're bored, hungry and alone. That's friends to die for.",1
". The family of a criminal wouldn't lie, would they? They never do that.",1
208 driver: thnx 4 speeding past my stop even with 2 ppl waiting for your bus that only comes every 30min,0
Review of Quick as a Bunny by Gregg Schwartzkopf,0
"Don't you know Ronald Reagan, the CIA, &amp; Operation Condor were killing people who were against freedom?",1
"wants to turn the US Armed Forces into mercenaries, presumably to attack the enemy of highest bidder",1
yeah let's erase bisexuality why not,1
Police: Prep school grad denied having sex with girl via,0
Under the lights in Piscataway. Can't wait.,1
I send from you Landy....,1
Thursday's comic is up...hope you like.,0
We will remember you said No to and,0
Tun M agen yahudi kot. (them macai-s can b a bit thick),1
❤„ Bright Purple sign stone accessory shopping,0
Vanessa enlightening us to her strategy for this evening’s HoH comp. My life is now complete.,1
"LSU's Cameron Treated for Cancer, Continuing Job: LSU's Cameron treated for prostate cancer, sa...",0
Mondays lighten up life,1
