tweets,pair_tweets,labels
@brruhia Nah bruh you just drinking it upside down 😂,I would have said this as an answer to a different question in order for it not to be sarcastic. ,0
Love it wen people try and stop my friends seeing me! Looooolll.,"Non sarcastically I would say ""I hate it when people try and get in between me and my friends"" ",0
It’s been a blissful 2.5 hours of sleep tonight,I only got 2.5 hours of sleep last night and it wasn’t enough,0
me not turning up to work is a feminist movement actually,Being anti-feminist by skipping my right to work,0
@Ciara87C @RachaelSmarty @SashaHumphreys2 my tinder convos have been leaked,This man doesn’t like Irish girls which is very different to me.,0
Telling someone when they’re wrong and being ignorant doesnt make me a cyber bully.,maybe i am a cyber bully,1
I only have a measly 2 days off work.,6 more hours and then a whoppingly massive 2days off work! wowzers!,1
Wow Bdubs can bench press 150 kilometers,Bdubs can't bench press 150 kilometers,0
My boyfriend is cheating on me ,my bf took my off his lock screen which obvi means he’s cheating on me,1
dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything,"My date got cancelled, and I got ready for nothing.",0
Is there a zombie apocalypse going on upper street,Why does everyone look so dead on Upper street ,0
Hailey convinced Tayler that putting a spoon in the microwave to scoop ice cream faster was a good idea,we had to tell her it was a bad idea to put a spoon in the microwave ,0
I dislike whoever keeps leaving their colored paper in the copier at work.,I never thought I’d have a mortal enemy but it’s whoever keeps printing on blue paper and then leaving like 5-10 blue sheets in the math room copier when they’re done for the next unsuspecting person,1
My eldest is going to play bingo tonight.,My eldest is having a wild Friday night out. She's going to bingo. 😂,1
I hate you so much @Eagles,Being an Eagles fan is disappointing,0
I’m upset because I am free today and none of my friends are because they have previous commitments ,How DARE my friends have jobs/boyfriends/lives they should consider my feelings and be free when I am,1
"""I'm so confused""",trying to figure out how to use notion for my anime list. I think i’m dying,1
Agreeing with the right to dunk on the centre is the real dialectical materialism,"""People on the left should not agree with the right just to win points in debates with people in the centre.""",0
I am really very surprised.,is this an earthquake because i am shook right now,1
"My family read my quarantine journal, I didn't get committed. ",came home to realize my family found and read my quarantine journal lmao lucky I didn’t get involuntarily committed wtf,1
"Stimulus checks should come with hand lotion, a face mask, and a bonus for every Instagram bingos you do","Young people are in need of the stimulus too. Just because we do not have kids does not mean that we do not have bills, debt, etc.",0
"Non-sarcastically I'd probably say ""Oh, out of curiousity, what's the reason for Ms. Thatcher trending?""",'Margaret Thatcher' is trending... has 2016 taken another one?,1
@cassieecote413 you can copy mine,"I would say the same thing as I tweeted, but it would actually be relevant to the girl I am replying to.",0
Anyone need a body for a human sacrifice? Trying to find a valid excuse to not go to work today.,I need a valid excuse to call-out today. ,0
"The tweet could be, ""oh my goodness I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face"" to make it not sarcastic. ",Thank god I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face,1
"employer: so what are your strengths
me: i’m smart i’m funny i’m nice i’m cool i’m creative i’m hardworking i’m made of wood i’m honest i’m fast i’m awesome i’m hot i’m chronically ill i’m little i’m in demand i’m","I could elaborate more on the strengths that make sense (creative, hardworking, etc) and to include those that are clearly false, I could make it a metaphor that would show the employer that I can think outside of the box. Of course, some of the original message could be left out for a more realistic approach.",0
I would say that “It’s a little gross seeing a baby cough openly in public when adults are not supposed to do the same in this pandemic”,I feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what I mean,1
"Well done to the guy who was charging down the stairs at Ealing Broadway and sent me flying, you made me cry.","Shame on the guy who was charging down the stairs at Ealing Broadway and sent me flying, you made me cry",0
After three days of incompetence from Air France my luggage has finally arrived. No thanks to Air France.,"Day 3. Luggage arrived, thanks @AirFranceFR. Non random Hungarian underwear. Talk delivered. Science sated. #metaxa http://t.co/6KPjLezQOF",1
"Instead of ""I wonder who this man is"" its ""everyone knows who this man is""",I love how they blur out Tristan’s face in this season of the kardashians LMAO like hmmmm I wonder who that mysterious man is,1
Wood burning stoves are definitely not an environmental issue that needs to be immediately addressed ,"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis 🧠 https://t.co/lShlgWYGOX",1
I'm joining in with the rest of Twitter and can't believe how much rain there is,Hey what's the weather like today? Am I going to need an umbrella?,1
"Can’t wait to get home take a big ass antihistamine and roll in some topical steroids.

Damn it, skin! What did I ever do to you?!?!",My allergies are really acting up and I need to take some antihistamines and use ointment.,0
My gf has been in the Hamptons nannying for a few hours and she has already been to a POLO match. It’s like she’s in “Gossip Girl”,My gf has been in the Hamptons nannying for a few hours and she has already been to a POLO match. Is she in GOSSIP GIRL?,1
It is quite obvious that cats do not actually wear nail polish.,Can cats wear nail polish,1
"Don’t worry, 20 something people who follow me here, I brushed my hair for the first time in a week today. I know, impressive.","I brushed my hair today, how easy. ",0
Do you think anyone on Bachelor in Paradise has seen Oscar winner Parasite?,I do not think anyone on Bachelor in Paradise has seen Parasite.,0
His questions are too basic the interview it not worth watching.,@stockwa16053563 @PeterGWall @michael_saylor Michael Saylor is efficient in his line of questioning. Feels like more an interrogation 😂⭕️,1
Clinical trials to determine the efficacy and safety of a treatment are essential.,Only a a President as strong and decisive as @realDonaldTrump would force the FDA to OK a drug even before clinical trial results are in.  No need to wait for such silly formalities - people have been taking the drug for years and most are still alive and fine! #OkToTry #Gotrump https://t.co/IdxTJ7kucp,1
If I weren’t insomniac I’d be pleased to have an extra hour.,"I'm so glad the clocks just went back, I have this whole extra hour of insomnia to play with.",1
I'm finding it hard to buy affordable enclosed toe sandals on the internet.,"apparently it's the biggest ask on the planet to find decently priced sandals with an enclosed toe. PLEASE, INTERNET. I just want to have vaguely summery shoes that don't involve me having my toes out to the world at all times lmfaoo",1
"I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",I don't think K&G owes me therapy.,0
South Park being taken off Hulu is the worst thing that’s happened to me personally in 2020 and like.. my dad died,"South Park being taken off Hulu was a bad thing to happen in 2020, but not worse than my dad dying.",0
"""my car is acting up AGAIN for like the 3rd year in a row and I'm really frustrated with it right now""",my car is acting up AGAIN for like the 3rd year in a row and I’m just going to drive it into the river at the point,1
"I've been doing physics for 40 minutes, i cant take a break or I'm never going to get it all done at this rate",I've been doing physics for 40 minutes I think I deserve a break 😂😂😂😭 I'm never going to get it all done at this rate,1
The lyrics in Taylor Swift's album remind me of the characters from (insert tv show here)!,omg my ships are gonna love what taylor swift has done for them,1
I don’t belong to anybody until someone makes me change my Facebook status. ,Ayeee it’s officially “I’m not even your girl” season 😛,1
Just redownloaded the @achievement app - let's see if it improves my exercise routine!,"I download this app again, but realistically I know it won't work.",0
"I'd end the sentence by saying ""but your xenophobia means that you have ignored the facts"".","@Rosievix @mouthwaite Well, illegal immigrants  categorically don’t get money from the government but why let a little thing like facts get in the way of a good bit of xenophobia...",1
I hate SiriusXM,i love siriusxm. siriusxm is my friend,1
"our lord and savior, frank ocean, has saved us all once again.",Frank Ocean really did something with this new music. ,0
We don’t have any influence to those in power. ,"@OldUnclePunch Yes, because we really have that sort of power. Why do brexity types always sound like they are all paranoid conspiracy therorists?",1
if 2020 was a nose it’d be mine 🐦,My nose is awful,0
@RealCandaceO Ok so when does the anger and bitterness start? Just so I can prepare properly…,"I don't believe that this happens to everyone, and it won't happen to me.",0
this bruh rly told me “Ur anger issues are my playground🥰”   so uhh hmu if u wana be friends bc i need new ones k thx(:,My friend just told me “Ur anger issues are my playground.” That was rude of him.,0
I wish I could work with Jack Antonoff. ,jack antonoff once ur done with clairo i’m right here sweetie,1
You don’t need to post a picture from airplane window every time you fly since all pictures from the window are practically the same. ,did you actually fly on a plane if you didn’t post a picture of the view from your window?,1
I am starting off my day by watching a Dragons Den special on Deborah Meaden and eating a Pot Noodle. My life is perfect.,I am starting off my day by watching a Dragons Den special on Deborah Meaden and eating a Pot Noodle. My life is a sham. Send help.,0
"We get it ESPN. Sawx and Yanks. 

Let's go meteor.",ESPN is yet again shwoing the Red Sox and Yankees. Don't they have other teams they can show?,0
hey guys! i’m so happy to announce that i’m officially brain dead ☺️,I am mentally unwell and struggling,0
I do love it when my mum makes me spend my savings on beer 😒,I really hate it when my mum makes me give her my savings so she can buy beer.,0
my hobbies include leaving projects for the night before and then complaining that the teacher didn't give us enough time 🙃🙃,When I procrastinate I tend to blame tbe teachers for not giving enough time although it is entirely my fault ,0
@adorinqdwt @dwtridesgnf Yes the racist is so cool!!!,Racist people are not cool.,0
I wish I were as rich as politicians are,i wish i could tap in to the government bank account🙄🙄🙄,1
I love how they blur out Tristan’s face in this season of the kardashians LMAO like hmmmm I wonder who that mysterious man is,"Instead of ""I wonder who this man is"" its ""everyone knows who this man is""",0
I’ve seen a lot of people on local Facebook groups asking AirBnB owners if they have any availability recently. If only there was a website you could use to find out if an AirBnB was available 🤔,There is a website you could use to check if the airbnb is available ,0
"""I hate seeing that my mom has officially started posting about the horse worm medicine being good for covid, and thinks they’re just trying to make it look bad bc it’s so cheap."" with no emojis",love seeing that my mom has officially started posting about the horse worm medicine being good for covid actually and they’re just trying to make it look bad bc it’s so cheap 🤪,1
Love being called the devil for taking away someone’s phone at summer school🤗🤗🤗,“It was not enjoyable to be called the devil for taking someone’s phone”,0
Today my pop-pop told me I was not “forced” to go to college 🙃 okay sure sureeee,"Today my pop-pop told me I was not ""forced"" to go to college. That's not true.",0
Just won 3 cents on HQ words...early retirement here I come 😍,"I won 3 cents on HQ trivia, that is not enough to buy anything at all",0
"I probably shouldn't be listening to Maneskin before my OSCE, it's not the right vibe.",do i just blast maneskin to get hyped for my osce or??,1
Love everything in my basket selling our before the sale was meant to start😒 @ZARA_Care @zara,"'I hate everything in my basket selling out before the sale was meant to start""",0
“Fair enough you got me there”,"@SIazVest @rodneyjaguars57 Fuck you got me there, you better get back to getting upset and jealous over successful and talented boxers",1
(!) I wonder where the Chancellor is after such an important decision?,Where is the Chancellor? Please check the back of your sofas.,1
Beautician and the Beast (1997). Best Timothy Dalton film of all time.,I would say what I said above: Beautician and the Beast isn't Timothy Dalton's best film. ,0
"""The worst way to wake up is....""",there’s no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed. 😑,1
i am ugly because there’s a dent in my car,hot girls have tree shaped dents in their rear bumpers ❤️,1
mentally I’m hiding in the walk-in,I am stressed.,0
Shaving in the shower without your glasses/contacts is EXACTLY like performing blind surgery 👀🔪,Shaving your legs without your glasses/contact lenses is incredibly difficult.,0
A wrong impression is once again my specialty,Unfortunately I made the wrong impressions again. ,0
thanks @SovietWomble for ratting my location out on stream and then embarrassing me 😂 it made my day though https://t.co/3b7Cjql2GO,It wasn't very nice to rat out my location,0
I'm fed up of being mentally ill and would like to get better,where can I hand my notice in for mental illness? been working at the same thing for way too long and it’s time for a change.,1
alright I’m ready for some march madness🏀🔥,"I was ready for some march madness, then COVID happened",0
where can I hand my notice in for mental illness? been working at the same thing for way too long and it’s time for a change.,I'm fed up of being mentally ill and would like to get better,0
How nice of tonsillitis to join me on my holiday 🖕🏻🖕🏻🖕🏻🖕🏻,I hate that I got tonsillitis while on holiday,0
@PONOS_EN Very nice. We're now briefly up to date. Hopefully doesn't take you so long to do the English release of the new pixie after we get 9.10.,I am disappointed that it took so long to get to this point where we are up to date.,0
"Started watching house of cards, 4 episodes in. Already I can see it was a good choice😄",It was a really good choice! You should all go watch it ,0
I've already been waiting 15 minutes for the bus and now I've spilled rum all over my bag.,"You know what makes a 15 minute wait for the bus even better, rum leaking all over the contents of your bag 🙈😫",1
absolutely love waking up to the fire alarm at 7 am 😍,I hate waking up to the fire alarm at 7 am.,0
I wouldn't because sarcasm is the only weapon I have against this stuff,"Being a mom with an autoimmune disease means I am a grown ass woman that caught hand, foot, and mouth from my daughter. My Hashimotos sucks. Thanks for all the sicknesses I so graciously suffer and should not be suffering at 40.",1
Repulsing people would certainly draw attention.,@BellularGaming Blizzard will have to make sure it doesn't exceed the recommended fun level of 10%.,1
Sky news is bias,What happened to unbiased journalism @SkyNews?,1
He's too old?,"@ZionWarrior6 I think lunch was ready at the care home, then it was time for nap and then Countdown.",1
Keanu reeves is killing his role in ozark season 3,The brother in ozark looks just like Keanu reeves!,0
Horse dancing is a weird Olympic sport and probably shouldn't be a sport in general. ,"Horse dancing is my new favorite Olympic sport, I have no clue what’s happening, but this is incredible",1
"It's snowing, if it wasn't lockdown I'd have to work from home but as I am already working from home it makes no difference to my day.","Yay - snow day, I can work from home - oh wait....",1
Lil Pump is the Nelson Mandela of our generation,Lil Pump is not the Nelson Mandela of our generation,0
Kepa had a great game,Kepa was sh*t,0
There is a website you could use to check if the airbnb is available ,I’ve seen a lot of people on local Facebook groups asking AirBnB owners if they have any availability recently. If only there was a website you could use to find out if an AirBnB was available 🤔,1
"oh also, my song with my middle school boyfriend was “143” by Bobby Brackins!! i really peaked geez","Unfortunately, 143 by Bobby Brackens was my song with my middle school boyfriend.",0
I don't like how I know the quadratic formula instead of how to pay taxes or get ready for college,"I’m so glad I know the quadratic formula from 8th grade instead of knowing how to pay taxes, get ready for college, oh OR ANYTHING ELSE USEFUL THAT INVOLVES BECOMING AND ADULT 🤠🥰",1
Justice will never be done,JUSTICE HAS BEEN DONE.,1
You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!,"This match isn't too interesting, we are using the time to talk about electrics instead!",0
my favorite gay drama is the social network,i love the social network because it feels kinda gay,0
I do not like the certified lover boy artwork,CLB cover art makes me want to pound my knees with a hammer.,1
"When I wrote this tweet, COVID testing was really inaccessible. That has somewhat changed but I was really trying to make a comment about how healthcare is a human right and how poorly our country is handling the pandemic. Owning a military-grade weapon isn't really necessary for human life. While I absolutely believe in the right of the working class to arm themselves (although not with an AR-15...), I just think it's ridiculous the barriers that are put up for people when accessing quality healthcare. I think it's run like a business in this country, and it's immoral.",gotta love living in a country where it’s easier to get an AR-15 than it is to get coronavirus testing 😍😝,1
"I enjoy dancing the hokey cokey, in particular putting my left leg in. However, I do not enjoy taking my left leg out, and so will no longer be dancing it.","wow, ok, unfollowing now. Was a big fan of putting your left leg in, but just heard about taking your left leg out",1
"I find it hilarious that ‘black and white’ or ‘all or nothing’ thinking is considered a cognitive distortion and is a symptom of several disorders, and yet it remains a pillar of American (and Western) culture.

It’s almost like…. our culture is toxic 🤔",The face that 'black and white thinking' is considered a mental disorder symptom and yet remains a pillar of American culture is hypocritical.,0
i hate it here ❤️❤️❤️❤️❤️,I hate it here. (no emojis),0
apparently it’s national siblings day? idgaf 💀,Happy national siblings day,0
"The hallways are very crowded lately. I would prefer to take another form of transportation that is more efficient than walking, but none such option exists.",considering crowd surfing the next time the hallways are too packed,1
"Top 3 ranked video games of all time:

1. Minecraft
2. Roblox Paintball
3. Every single Just Dance","I would put actual top ranked games, not stupid ones everyone makes fun of.",0
"""This is my 3rd time taking the same biology course, I am not good at this subject at all""",this is my 3rd time taking a biology course and it’s so EASY wow i love biology so much i’m so glad i’m so good at this subject.,1
"Wait didn’t covid go away?? It’s after November third so it definitely should be gone now...wait...I’m confused...121,000 cases in a day? You’re telling me THE WHOLE WORLD didn’t fake a pandemic for the US election? No way...",The pandemic is still very much real and has absolutely nothing to do with American election cycles. It is still happening. Please take it seriously. ,0
I've heard that Baja Blast may be sold in stores and I would enjoy that because I think the drink is good. ,"Heard a rumor that Baja Blast is coming to stores and regardless if anything else I hope for in life falls through, at least I'll have this.",1
"""I don't know who Justin Herbert is""",Wtf is a Justin Herbert,1
Whoop diddy scoop poop,I would’ve just tweeted that I hated Kanye’s new song. ,0
So weird how Venmo hasn’t venmoed me yet really thought I was the one,there is no way I would win a contest that millions of people are entering ,0
"Incredible scenes in Nottingham, as it begins to rain for the first time this hour.",I'm not surprised that it's raining again.,0
I would like to go to the film screening if I could,Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days 😭 tempted to quit teaching tbh,1
Pitching two games back to back is exhausting.,Man I just love it when I'm forced to pitch two games back to back bc our other pitcher didn't show up,1
"""I really think that older Republicans are lacking in self-awareness in the modern-day. They had a complete misstep and just ended up bullying a teenager.""",I don't think Republicans have any self awareness or any idea of how the world works... Nice try though.,1
Wow it’s almost like we don’t nap every single day at the exact same time wow how dare I try to do the thing we do every single day!,We nap at the same time every day,0
"""I am happy for those who met him, but I wish I met Dream on hypixel""",also if u met dream on hypixel.. congrats ! im not jealous at all haha im totally normal haha Good For You .. haha,1
How DARE my friends have jobs/boyfriends/lives they should consider my feelings and be free when I am,I’m upset because I am free today and none of my friends are because they have previous commitments ,0
"Someone in the pub just described the England team as a ""bunch of Marxists"". What an idiot!","Someone in the pub just described the England team as ""a bunch of Marxists"". Makes you proud doesn't it?",1
I'm not doing great mentally right now.,flew into a rage this morning bc i couldnt find my karaoke mic so yeah i would say things are going well for me,1
My neighbors mowed the lawn and woke me up,"the audacity of the neighbors to mow the lawn while i'm trying to sleep, at 6:30pm",1
"Me: ""Did you you find everything you were looking for?""

Customer: ""why, are you hiding something?""

Me: ""aRe YOu HIdiNg sOMetHinG?""","""No I am not hiding something""",0
"Please consider map filters on online mutliplayer. Pretty pls, thanks @CallofDutyUK",I want map filters on COD,0
“I’m going to rewatch panic on amazon”,don’t make me rewatch panic 🤨,1
everytime i swipe through bumble when i’m bored i just get sad that no one has the same complex interests as me….rude 😤🙄 /j,Everytime i swipe through bumble when i’m bored i just get sad that no one has the same complex interests as me.,0
this last year of trumps presidency is not going too well,Loving season 4 of trump does America. Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020,1
dont you love it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,dont you hate it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,0
It really bugs me when teachers uncap and recap highlighters three or four times per book when marking - Poor time management! #efficiency,Use the hashtag #wastedtime instead,0
Is spunk a slur?,I am worried that I may have used a slur by saying the work spunk today ,0
being single during college must be really fun when ur nOT IN A GLOBAL PANDEMIC,"being single in college, especially during a global pandemic, is boring and disheartening",0
"I would omit the ""who'da thunk"" part.","@BoardroomBoy Few links for you. To summarise, wearing face masks seems to be more effective than not. Who'da thunk...",1
I wish I didn't just buy gray and striped shirts.,wow i love only ever buying gray and striped shirts,1
Jim I put some money and didi and lost some money and now am being forced to live below my usual means,"@jimcramer Yo jim I put my life savings in $didi at $16 as per your request now me and my family are eating MREs in full survival mode

What should I do?",1
it's funny my mom thinks i possess no remorse when i feel remorse everyday for existing 😎,"i hate how my mom thinks i feel no remorse, when she has conditioned me to feel remorse nearly everyday for simply just existing alongside her",0
somebody tell these birds to be quiet because they not listening to me,I wish the birds outside would stop chirping.,0
Cheers @ASOS delivery lady for dropping my parcel off covered in coffee 😒👌🏼 https://t.co/UzY4gJS9DE,Not pleased the delivery lady spilt coffee on my parcel ,0
Did you know? Abuse and alcoholism and depression will just ✨disappear✨ if the country is opened completely during a pandemic? #trumpisanidiot #bidenharris2020,"Trump thinks that if people socialize during a pandemic, every mental health issue will be solved.",0
Can cats wear nail polish,It is quite obvious that cats do not actually wear nail polish.,0
"@mjborshell @garygilligan Hasn't he opened a few new hospitals? Oh sorry, maybe it was a new first aid box.",Javid hasn't actually opened any new hospitals - he's just announcing that he has when actually he's opening a new facility within an existing hospital,0
I got called ugly on Twitter by an uneducated teen who refuses to show his face:( I’m gonna cry myself to sleep😭 I’m in gut wrenching pain!,I was unaffected by an interaction with someone on twitter,0
Jaegermeister did 9/11,"""Jaegermeister didn't do 9/11"" or ""Jaegermeister can't melt steel beams""",0
i’m sure 14 year old me would be delighted to know that 22 year old me is still getting stressed over websites crashing for bands🙃,"""I really don't like that I am still getting as frustrated over websites crashing when I'm buying tickets as I did when I was younger""",0
The healthcare system in the U.S is so frustrating. I spend so much money on health insurance only to end up paying just as much out of pocket when my insurance doesn’t cover the services.,I love health insurance so much fun paying $100’s a month and then $100’s for basic medical services that somehow aren’t covered. #America,1
"‘Oh Feeya, you haven’t changed’’ ","@FeeyaCruz Ahahahaha the Feeya I know and love, miss u 😢",1
"Claires, you should not do full hysterectomies. ",yo @claires do yall do hysterectomies?,1
I do not enjoy paper straws,Every time I see an establishment with paper straws I turn a little bit Republican,1
"Not enjoying being healthy , going the loo far too many times .",Sick of being healthy already pissing like a racehorse !! Keep Well hydrated Han 4th litre of water 💧💦,1
don’t make me rewatch panic 🤨,“I’m going to rewatch panic on amazon”,0
Taxes  are just the best and I cannot wait to pay more 😇🥰🥺,I dislike paying taxes.,0
I like online shopping because I am shy.,I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave.,1
I should not be having back spasms when I take deep breaths at age 28.,"Ah yes, back spasms when I take a deep breath. This is ✨28✨.",1
I know the work would be happier if we all stopped commenting on things that don’t concern us ,"Maybe if we didn’t comment on things that don’t concern us, the world would be a happier place?? But what do I know🤷🏻‍♀️",1
victoria has a crush on maluma,Victoria really enjoys maluma's music and talking about them.,0
Semester hasn’t even started and I’ve already had two breakdowns :) this is gonna be a fun one!,I would say “this isn’t going to be a fun semester” instead. ,0
"Investment has been lacking for years, why should the public believe you now? ",@BorisJohnson @MattHancock Oh really?,1
i hope u sleep maybe forever maybe not  lol,i wish you wake up normally,0
"College advisors are not nearly as helpful as they should be, in fact they are often the opposite.",thinking about quitting the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life,1
Why is the ref helping the other team?,Do the #Hokies really have to play 5 against 6 tonight? Come on stripes,1
"Using an educator discount, I receive 20% off Manga at B&amp;N. This is the only reason I am a teacher.","Using an educator discount, I receive 20% off Manga at B&N. This is a perk of being a teacher!",0
It's soooo great that I've taken pain medication and my back is still hurting 😩😩😩😩😩😩,"I took pain medicine for my back, but it still hurts. ",0
I can’t believe my charge nurse is judging how my scrubs look when I’m busy taking care of covid patients,Not only did I have to take care of covid patients last night but my charge nurse told me the covid scrubs make me look “unwantable”! Great!,1
"@barcacentre Unemployed and lazy that Messi guy 😂

(I'm being sarcastic guys, I'm warning you lol)",How is someone so good still not with a team?,0
Well. That went well. #BelgianGP,No start to the race? This doesn't look good. ,0
“You’re never going to have a white boyfriend are you Jess” Nah don’t think so Mum,You’ve had a mixed lot of boyfriends haven’t you?,0
I hate it here. (no emojis),i hate it here ❤️❤️❤️❤️❤️,1
"it's odd that the queen's gambit is set in the american south in the 1960s, yet never discusses racism","finished the queen's gambit, i loved a look into the 1960s in the american south with no racism just vibes",1
help! i'm being haunted by dead people! (my dissertations),I hate my dissertation,0
"""You're not a normal white girl"" lol ok",I am a normal white woman,0
I wish my body would let me sleep.,It would be nice if my body would let me sleep...,1
what a great day to be stuck inside 🙃,It's a terrible day to be stuck inside.,0
I love not being pregnant so much it’s my fave thing about myself,Im happy not having children.,0
Only posting selfie’s?? On YOUR own Instagram account?? Crazy right,It's my Instagram for a reason why wouldn't it be all pictures of me?,0
@PoliticalOrgy I thing you might be on to somethink!🙄,I don't think I could.,0
I hate entry level jobs that require years of experience ,Entry level jobs that require 3 years prior experience 💕💕 ly 💕💕,1
God are you punishing us by creating such bad weather?,What kind of sins have y’all been committing for God to punish us with this kinda weather...,1
Great recipe from Alexa,Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @bbcgoodfood,1
Day 14 in lockdown.,"Day 2348 in lockdown. Never in my life did I think I would utter the words ""I've disinfected the chocolate"". #coronalockdownuk",1
by simply stating the foolishness of voting in favour of brexit ,Fool me once shame on you. Fool me twice shame on me. Fool me multiple times I must have become a brexiter. #Brexit,1
Is it really worth it to have a tiktok account?,"So now that it's not getting banned, should I download TikTok?",1
#HappyBirthdayKeanuReeves Keanu Reeves is so wholesome ☺️,Keanu Reeves is a pretty great guy.,0
"""Jaegermeister didn't do 9/11"" or ""Jaegermeister can't melt steel beams""",Jaegermeister did 9/11,1
people who say that they’re allergic to pineapple are pathological liars!!!!!!!,I feel like too many people say that they're allergic to pineapple when they really aren't.,0
I do not want to go to work today at all.,i would rather be outside reed timmers car in f3 tornado winds than go to work today,1
